Examp_TCR_2014	Examp_TCR_2015	Examp_TCR_2017	Examp_TCR_clones
9335350	9407338	6625235	8455974
12019263	5726206	7606752	8450740
12836106	7362264	5152961	8450444
9452042	8834717	6993304	8426688
7935048	10797988	6502546	8411860
3384064	0	21838739	8407601
9802118	10961594	4416824	8393512
6768129	7853082	10551301	8390837
5484518	9734549	9937853	8385640
20187694	2372285	2576480	8378820
13886333	3272117	7974820	8377757
11960917	1145241	12023575	8376578
5892940	6953250	12268954	8371715
4375945	3681132	17053847	8370308
7409934	11779623	5889098	8359552
7935048	7444067	9692474	8357196
19137468	3353920	2576480	8355956
2683913	10716185	11655507	8351868
5659556	6135220	13250471	8348416
13594603	7607673	3803376	8335217
8518507	3353920	13127781	8333403
0	5971614	19016879	8329498
5601210	12025032	7361373	8329205
18729046	736226	5521029	8328767
6884821	6789644	11287438	8320634
4784367	2863103	17299226	8315565
9977155	10061761	4907582	8315499
5951286	4499162	14477366	8309271
17795511	2699497	4416824	8303944
11319112	8425702	5152961	8299258
12544377	1554256	10796680	8298437
16336863	5726206	2821860	8294976
3617448	6298826	14968124	8294800
21412959	0	3435307	8282755
10327231	10961594	3557997	8282274
16161825	1063438	7606752	8277338
8635199	7853082	8342889	8277057
5776248	9816352	9201716	8264772
9510388	7525870	7729441	8255233
11494150	5644403	7606752	8248435
21062883	0	3680686	8247857
24738678	0	0	8246226
7468280	5235388	12023575	8242414
2800605	18487464	3435307	8241125
17270398	5235388	2208412	8238066
4375945	8916520	11410128	8234198
15811749	7035053	1840343	8229048
15111598	0	9569784	8227127
8110085	3190315	13373160	8224520
10735653	7771279	6134477	8213803
11669188	8671111	4294134	8211478
24621986	0	0	8207329
4084216	9734549	10796680	8205148
16803630	4253753	3557997	8205126
5484518	8671111	10428611	8194747
18962430	2863103	2699170	8174901
16978668	3353920	4171444	8168011
20654462	3844738	0	8166400
13361220	4989979	6134477	8161892
11027382	7198658	6257167	8161069
10793998	13661090	0	8151696
0	8834717	15581572	8138763
0	24377275	0	8125758
14761522	4335556	5275650	8124243
6243015	12597652	5521029	8120566
7468280	11370608	5521029	8119973
12952798	5971614	5398340	8107584
1867070	18651070	3803376	8107172
15986787	5235388	3067239	8096471
18378970	2699497	3189928	8089465
9043620	12761258	2453791	8086223
6534745	9080126	8588268	8067713
11319112	6135220	6747925	8067419
3617448	14806332	5766409	8063396
7993393	8834717	7361373	8063161
8926928	8507505	6747925	8060786
10677307	9570944	3926065	8058105
2333838	8834717	13005092	8057882
0	6380629	17789984	8056871
17503781	3353920	3312618	8056773
933535	11207002	12023575	8054704
10502269	6789644	6870614	8054176
10035501	6380629	7729441	8048524
4726021	4171950	15213503	8037158
10560615	7280461	6257167	8032748
4084216	15706164	4294134	8028171
5542864	6380629	12146265	8023253
11785879	5153585	7115994	8018486
0	17178617	6870614	8016410
0	8834717	15213503	8016074
8460161	10797988	4784892	8014347
20187694	3844738	0	8010811
11844225	2372285	9815163	8010558
10210539	11452411	2331101	7998017
12602723	6953250	4416824	7990932
2742259	5398994	15826951	7989401
15578365	3108512	5275650	7987509
9510388	10143564	4294134	7982695
11669188	8343900	3926065	7979717
21646343	2290482	0	7978942
10093847	6707841	7115994	7972561
18028895	5235388	613448	7959243
3792486	5480797	14600056	7957779
10035501	5971614	7852131	7953082
23805143	0	0	7935048
5834594	12188638	5766409	7929880
1166919	7525870	15090814	7927868
3734140	8998323	11042059	7924841
12894452	3272117	7606752	7924440
6593091	6380629	10796680	7923467
11785879	4744570	7238683	7923044
7001513	14642726	2085722	7909987
3442410	17342223	2944549	7909727
9043620	8425702	6257167	7908830
0	9243732	14477366	7907033
4025870	10716185	8956337	7899464
9627080	11125199	2944549	7898943
4901059	9080126	9692474	7891220
9218658	3762935	10673990	7885195
16686938	3517526	3435307	7879924
4784367	15542558	3312618	7879848
2625567	11043396	9937853	7868939
11377458	7198658	5030271	7868796
16278517	7280461	0	7852993
12427685	7198658	3926065	7850803
20071003	3435723	0	7835575
12486031	8425702	2576480	7829405
4084216	5153585	14231987	7823263
2975643	12515849	7974820	7822104
10735653	4989979	7729441	7818358
23455067	0	0	7818356
